year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,March 23,Friendly,Serbia,Morocco,1770,1691,1,2,in Italy,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Netherlands,England,1895,1933,0,1,in the Netherlands,No,,,,,,,,,,,,No
2018,March 23,Friendly,Norway,Australia,1581,1727,4,1,in Norway,No,,,,,,,,,,,,No
2018,March 23,Friendly,Peru,Croatia,1882,1856,2,0,in the United States,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Poland,Nigeria,1842,1699,0,1,in Poland,No,,,,,,,,,,,,No
2018,March 23,Friendly,Portugal,Egypt,1994,1658,2,1,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Russia,Brazil,1698,2113,0,3,in Russia,No,,,,,,,,,,,,No
2018,March 23,Friendly,Ukraine,Saudi Arabia,1738,1558,1,1,in Spain,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Scotland,Costa Rica,1721,1745,0,1,in Scotland,No,,,,,,,,,,,,No
2018,March 23,Friendly,Senegal,Uzbekistan,1751,1610,1,1,in Morocco,Yes,,,,,,,,,,,,Yes
2018,March 23,Friendly,Singapore,Maldives,1058,939,3,2,in Singapore,No,,,,,,,,,,,,No
2018,March 23,Friendly,Tahiti,New Caledonia,1215,1212,4,3,in Tahiti,No,,,,,,,,,,,,No
2018,March 23,Friendly,Tunisia,Iran,1623,1802,1,0,in Tunisia,No,,,,,,,,,,,,No
2018,March 23,Friendly,Turkey,Ireland,1712,1731,1,0,in Turkey,No,,,,,,,,,,,,No
2018,March 23,Friendly tournament,Uruguay,Czechia,1866,1713,2,0,in China,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly tournament,Zimbabwe,Angola,1477,1252,2,2,in Zambia,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Armenia,Estonia,1481,1515,0,0,in Armenia,No,,,,,,,,,,,,No
2018,March 24,Friendly,Botswana,Lesotho,1253,1270,1,0,in Botswana,No,,,,,,,,,,,,No
2018,March 24,Friendly,Canada,New Zealand,1524,1524,1,0,in Spain,Yes,,,,,,,,,,,,Yes
2018,March 24,Friendly,Georgia,Lithuania,1482,1407,4,0,in Georgia,No,,,,,,,,,,,,No
