year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,October 12,Friendly,Sri Lanka,Malaysia,715,1061,1,4,in Sri Lanka,No,,,,,,,,,,,,No
2018,October 12,African Nations Cup qualifier,Togo,Gambia,1385,1283,1,1,in Togo,No,,,,,,,,,,,,No
2018,October 13,European Nations League D,Armenia,Gibraltar,1440,1068,0,1,in Armenia,No,,,,,,,,,,,,No
2018,October 13,European Nations League C,Bulgaria,Cyprus,1655,1421,2,1,in Bulgaria,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Burkina Faso,Botswana,1555,1329,3,0,in Burkina Faso,No,,,,,,,,,,,,No
2018,October 13,Friendly,China,India,1526,1206,0,0,in China,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Democratic Republic of Congo,Zimbabwe,1579,1470,1,2,in the Democratic Republic of the Congo,Yes,,,,,,,,,,,,Yes
2018,October 13,CONCACAF Nations League qualifier,El Salvador,Barbados,1471,1135,3,0,in El Salvador,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Equatorial Guinea,Madagascar,1336,1354,0,1,in Equatorial Guinea,No,,,,,,,,,,,,No
2018,October 13,European Nations League D,Georgia,Andorra,1529,1069,3,0,in Georgia,No,,,,,,,,,,,,No
2018,October 13,European Nations League B,Ireland,Denmark,1712,1891,0,0,in Ireland,No,,,,,,,,,,,,No
2018,October 13,European Nations League D,Latvia,Kazakhstan,1326,1331,1,1,in Latvia,No,,,,,,,,,,,,No
2018,October 13,European Nations League D,Macedonia,Liechtenstein,1542,1158,4,1,in Macedonia,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Morocco,Comoros,1723,1043,1,0,in Morocco,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Mozambique,Namibia,1307,1356,1,2,in Mozambique,No,,,,,,,,,,,,No
2018,October 13,Friendly,Myanmar,Bolivia,1062,1662,0,3,in Myanmar,No,,,,,,,,,,,,No
2018,October 13,European Nations League A,Netherlands,Germany,1908,1973,3,0,in the Netherlands,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Nigeria,Libya,1708,1485,4,0,in Nigeria,No,,,,,,,,,,,,No
2018,October 13,European Nations League C,Norway,Slovenia,1632,1574,1,0,in Norway,No,,,,,,,,,,,,No
2018,October 13,Friendly,Oman,Philippines,1536,1178,1,1,in Qatar,Yes,,,,,,,,,,,,Yes
2018,October 13,CONCACAF Nations League qualifier,Puerto Rico,Martinique,1022,1438,0,1,in Puerto Rico,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Senegal,Sudan,1748,1235,3,0,in Senegal,No,,,,,,,,,,,,No
2018,October 13,European Nations League B,Slovakia,Czechia,1758,1678,1,2,in Slovakia,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,South Africa,Seychelles,1558,962,6,0,in South Africa,No,,,,,,,,,,,,No
2018,October 13,CONCACAF Nations League qualifier,Suriname,British Virgin Islands,1261,646,5,0,in Suriname,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Tunisia,Niger,1670,1300,1,0,in Tunisia,No,,,,,,,,,,,,No
2018,October 13,CONCACAF Nations League qualifier,Turks and Caicos Islands,Guyana,759,1180,0,8,in Turks and Caicos Islands,No,,,,,,,,,,,,No
2018,October 13,African Nations Cup qualifier,Uganda,Lesotho,1409,1329,3,0,in Uganda,No,,,,,,,,,,,,No
2018,October 13,Friendly,Uzbekistan,North Korea,1590,1456,2,0,in Uzbekistan,No,,,,,,,,,,,,No
2018,October 14,European Nations League D,Azerbaijan,Malta,1428,1189,1,1,in Azerbaijan,No,,,,,,,,,,,,No
2018,October 14,European Nations League D,Faroe Islands,Kosovo,1260,1454,1,1,in the Faroe Islands,No,,,,,,,,,,,,No
2018,October 14,African Nations Cup qualifier,Guinea-Bissau,Zambia,1278,1466,2,1,in Guinea-Bissau,No,,,,,,,,,,,,No
2018,October 14,European Nations League C,Israel,Albania,1532,1555,2,0,in Israel,No,,,,,,,,,,,,No
2018,October 14,CONCACAF Nations League qualifier,Jamaica,Bonaire,1563,977,6,0,in Curaçao,Yes,,,,,,,,,,,,Yes
2018,October 14,African Nations Cup qualifier,Kenya,Ethiopia,1369,1293,3,0,in Kenya,No,,,,,,,,,,,,No
2018,October 14,European Nations League C,Lithuania,Montenegro,1368,1592,1,4,in Lithuania,No,,,,,,,,,,,,No
2018,October 14,CONCACAF Nations League qualifier,Montserrat,Belize,644,1185,1,0,in Montserrat,No,,,,,,,,,,,,No
2018,October 14,CONCACAF Nations League qualifier,Nicaragua,Anguilla,1301,571,6,0,in Costa Rica,Yes,,,,,,,,,,,,Yes
2018,October 14,European Nations League A,Poland,Italy,1772,1863,0,1,in Poland,No,,,,,,,,,,,,No
2018,October 14,European Nations League C,Romania,Serbia,1732,1796,0,0,in Romania,No,,,,,,,,,,,,No
2018,October 14,European Nations League B,Russia,Turkey,1756,1732,2,0,in Russia,No,,,,,,,,,,,,No
2018,October 14,Friendly,Scotland,Portugal,1690,1965,1,3,in Scotland,No,,,,,,,,,,,,No
2018,October 14,CONCACAF Nations League qualifier,Saint Kitts and Nevis,Saint Martin,1247,848,10,0,in Anguilla,Yes,,,,,,,,,,,,Yes
2018,October 14,Friendly,Thailand,Trinidad and Tobago,1389,1443,1,0,in Thailand,No,,,,,,,,,,,,No
2018,October 15,European Nations League D,Belarus,Moldova,1523,1312,0,0,in Belarus,No,,,,,,,,,,,,No
2018,October 15,European Nations League B,Bosnia and Herzegovina,Northern Ireland,1782,1651,2,0,in Bosnia and Herzegovina,No,,,,,,,,,,,,No
2018,October 15,Friendly,Croatia,Jordan,1917,1466,2,1,in Croatia,No,,,,,,,,,,,,No
2018,October 15,European Nations League C,Estonia,Hungary,1447,1572,3,3,in Estonia,No,,,,,,,,,,,,No
2018,October 15,European Nations League C,Finland,Greece,1642,1653,2,0,in Finland,No,,,,,,,,,,,,No
2018,October 15,European Nations League A,Iceland,Switzerland,1691,1881,1,2,in Iceland,No,,,,,,,,,,,,No
2018,October 15,Friendly,Kuwait,Australia,1429,1712,0,4,in Kuwait,No,,,,,,,,,,,,No
2018,October 15,European Nations League D,Luxembourg,San Marino,1367,844,3,0,in Luxembourg,No,,,,,,,,,,,,No
2018,October 15,Friendly tournament,Saudi Arabia,Iraq,1579,1557,1,1,in Saudi Arabia,No,,,,,,,,,,,,No
2018,October 15,European Nations League A,Spain,England,2062,1907,2,3,in Spain,No,,,,,,,,,,,,No
2018,October 16,European Nations League D,Armenia,Macedonia,1402,1546,4,0,in Armenia,No,,,,,,,,,,,,No
2018,October 16,Friendly,Bahrain,Myanmar,1401,1060,4,1,in Bahrain,No,,,,,,,,,,,,No
2018,October 16,Friendly,Belgium,Netherlands,2083,1939,1,1,in Belgium,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Benin,Algeria,1403,1517,1,0,in Benin,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Botswana,Burkina Faso,1320,1564,0,0,in Botswana,No,,,,,,,,,,,,No
2018,October 16,Friendly tournament,Brazil,Argentina,2123,1908,1,0,in Saudi Arabia,Yes,,,,,,,,,,,,Yes
2018,October 16,African Nations Cup qualifier,Burundi,Mali,1344,1514,1,1,in Burundi,No,,,,,,,,,,,,No
2018,October 16,Friendly,Cambodia,Singapore,802,1062,1,2,in Cambodia,No,,,,,,,,,,,,No
2018,October 16,CONCACAF Nations League qualifier,Canada,Dominica,1535,1031,5,0,in Canada,No,,,,,,,,,,,,No
2018,October 16,Friendly,China,Syria,1518,1601,2,0,in China,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Central African Republic,Ivory Coast,1320,1617,0,0,in Central African Republic,No,,,,,,,,,,,,No
2018,October 16,Friendly,Colombia,Costa Rica,1955,1697,3,1,in the United States,Yes,,,,,,,,,,,,Yes
2018,October 16,African Nations Cup qualifier,Comoros,Morocco,1043,1723,2,2,in the Comoros,No,,,,,,,,,,,,No
2018,October 16,Friendly,Denmark,Austria,1887,1753,2,0,in Denmark,No,,,,,,,,,,,,No
2018,October 16,Friendly,Ecuador,Oman,1747,1528,0,0,in Qatar,Yes,,,,,,,,,,,,Yes
2018,October 16,African Nations Cup qualifier,Eswatini,Egypt,1236,1587,0,2,in Eswatini,No,,,,,,,,,,,,No
2018,October 16,European Nations League A,France,Germany,2120,1942,2,1,in France,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Gambia,Togo,1293,1375,0,1,in The Gambia,No,,,,,,,,,,,,No
2018,October 16,European Nations League D,Gibraltar,Liechtenstein,1106,1154,2,1,in Gibraltar,No,,,,,,,,,,,,No
2018,October 16,CONCACAF Nations League qualifier,Guadeloupe,Aruba,1241,966,0,0,in Guadeloupe,No,,,,,,,,,,,,No
2018,October 16,CONCACAF Nations League qualifier,Haiti,Saint Lucia,1494,1151,2,1,in Martinique,Yes,,,,,,,,,,,,Yes
2018,October 16,Friendly,Indonesia,Hong Kong,1242,1176,1,1,in Indonesia,No,,,,,,,,,,,,No
2018,October 16,Friendly,Iran,Bolivia,1824,1664,2,1,in Iran,No,,,,,,,,,,,,No
2018,October 16,European Nations League B,Ireland,Wales,1716,1772,0,1,in Ireland,No,,,,,,,,,,,,No
2018,October 16,Friendly,Japan,Uruguay,1719,1945,4,3,in Japan,No,,,,,,,,,,,,No
2018,October 16,European Nations League D,Kazakhstan,Andorra,1336,1066,4,0,in Kazakhstan,No,,,,,,,,,,,,No
2018,October 16,Friendly,Laos,Mongolia,755,692,1,4,in Laos,No,,,,,,,,,,,,No
2018,October 16,European Nations League D,Latvia,Georgia,1321,1532,0,3,in Latvia,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Lesotho,Uganda,1311,1427,0,2,in Lesotho,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Liberia,Congo,1299,1408,2,1,in Liberia,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Madagascar,Equatorial Guinea,1379,1311,1,0,in Madagascar,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Malawi,Cameroon,1267,1628,0,0,in Malawi,No,,,,,,,,,,,,No
2018,October 16,Friendly,Malaysia,Kyrgyzstan,1068,1255,0,1,in Malaysia,No,,,,,,,,,,,,No
2018,October 16,CONCACAF Nations League qualifier,Martinique,British Virgin Islands,1444,645,4,0,in Martinique,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Mauritania,Angola,1330,1309,1,0,in Mauritania,No,,,,,,,,,,,,No
2018,October 16,Friendly,Mexico,Chile,1813,1852,0,1,in Mexico,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Namibia,Mozambique,1379,1284,1,0,in Namibia,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Niger,Tunisia,1297,1673,1,2,in Niger,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Nigeria,Libya,1718,1475,3,2,in Tunisia,Yes,,,,,,,,,,,,Yes
2018,October 16,European Nations League C,Norway,Bulgaria,1643,1660,1,0,in Norway,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Rwanda,Guinea,1264,1473,1,1,in Rwanda,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Seychelles,South Africa,960,1560,0,0,in the Seychelles,No,,,,,,,,,,,,No
2018,October 16,European Nations League C,Slovenia,Cyprus,1563,1416,1,1,in Slovenia,No,,,,,,,,,,,,No
2018,October 16,Friendly,South Korea,Panama,1779,1575,2,2,in South Korea,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,South Sudan,Gabon,1045,1420,0,1,in South Sudan,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Sudan,Senegal,1233,1750,0,1,in Sudan,No,,,,,,,,,,,,No
2018,October 16,Friendly,Sweden,Slovakia,1819,1728,1,1,in Sweden,No,,,,,,,,,,,,No
2018,October 16,African Nations Cup qualifier,Tanzania,Cape Verde,1313,1452,2,0,in Tanzania,No,,,,,,,,,,,,No
2018,October 16,European Nations League B,Ukraine,Czechia,1794,1708,1,0,in Ukraine,No,,,,,,,,,,,,No
2018,October 16,Friendly,United States,Peru,1754,1896,1,1,in the United States,No,,,,,,,,,,,,No
2018,October 16,Friendly,Uzbekistan,Qatar,1596,1521,2,0,in Uzbekistan,No,,,,,,,,,,,,No
2018,October 16,Friendly,Venezuela,United Arab Emirates,1746,1506,2,0,in Spain,Yes,,,,,,,,,,,,Yes
2018,October 16,African Nations Cup qualifier,Zimbabwe,Democratic Republic of Congo,1501,1548,1,1,in Zimbabwe,No,,,,,,,,,,,,No
2018,November 3,Friendly,Malaysia,Maldives,1060,988,3,0,in Malaysia,No,,,,,,,,,,,,No
2018,November 8,Southeast Asian Championship,Cambodia,Malaysia,796,1069,0,1,in Cambodia,No,,,,,,,,,,,,No
2018,November 8,Southeast Asian Championship,Laos,Vietnam,730,1285,0,3,in Laos,No,,,,,,,,,,,,No
2018,November 9,Southeast Asian Championship,Singapore,Indonesia,1068,1238,1,0,in Singapore,No,,,,,,,,,,,,No
2018,November 9,Southeast Asian Championship,Thailand,East Timor,1398,652,7,0,in Thailand,No,,,,,,,,,,,,No
2018,November 11,East Asian Championship qualifier,North Korea,Mongolia,1450,717,4,1,in Taiwan,Yes,,,,,,,,,,,,Yes
2018,November 11,East Asian Championship qualifier,Taiwan,Hong Kong,992,1180,1,2,in Taiwan,No,,,,,,,,,,,,No
2018,November 12,Southeast Asian Championship,Malaysia,Laos,1080,725,3,1,in Malaysia,No,,,,,,,,,,,,No
2018,November 12,Southeast Asian Championship,Myanmar,Cambodia,1057,785,4,1,in Myanmar,No,,,,,,,,,,,,No
2018,November 13,East Asian Championship qualifier,North Korea,Hong Kong,1451,1195,0,0,in Taiwan,Yes,,,,,,,,,,,,Yes
2018,November 13,Southeast Asian Championship,Indonesia,East Timor,1214,651,3,1,in Indonesia,No,,,,,,,,,,,,No
2018,November 13,Southeast Asian Championship,Philippines,Singapore,1186,1092,1,0,in the Philippines,No,,,,,,,,,,,,No
2018,November 13,East Asian Championship qualifier,Taiwan,Mongolia,977,716,2,1,in Taiwan,No,,,,,,,,,,,,No
2018,November 14,Friendly,Switzerland,Qatar,1896,1513,0,1,in Switzerland,No,,,,,,,,,,,,No
2018,November 14,Friendly,Vanuatu,New Caledonia,1223,1205,0,1,in Vanuatu,No,,,,,,,,,,,,No
2018,November 15,European Nations League D,Andorra,Georgia,1058,1556,1,1,in Andorra,No,,,,,,,,,,,,No
2018,November 15,European Nations League B,Austria,Bosnia and Herzegovina,1747,1795,0,0,in Austria,No,,,,,,,,,,,,No
2018,November 15,European Nations League A,Belgium,Iceland,2077,1676,2,0,in Belgium,No,,,,,,,,,,,,No
2018,November 15,European Nations League A,Croatia,Spain,1918,2029,3,2,in Croatia,No,,,,,,,,,,,,No
2018,November 15,Friendly,England,United States,1940,1755,3,0,in England,No,,,,,,,,,,,,No
2018,November 15,Friendly,Germany,Russia,1935,1776,3,0,in Germany,No,,,,,,,,,,,,No
2018,November 15,European Nations League C,Greece,Finland,1631,1664,1,0,in Greece,No,,,,,,,,,,,,No
2018,November 15,European Nations League C,Hungary,Estonia,1571,1448,2,0,in Hungary,No,,,,,,,,,,,,No
2018,November 15,Friendly,Iran,Trinidad and Tobago,1828,1434,1,0,in Iran,No,,,,,,,,,,,,No
2018,November 15,Friendly,Ireland,Northern Ireland,1693,1638,0,0,in Ireland,No,,,,,,,,,,,,No
2018,November 15,Friendly,Israel,Guatemala,1555,1508,7,0,in Israel,No,,,,,,,,,,,,No
2018,November 15,European Nations League D,Kazakhstan,Latvia,1344,1297,1,1,in Kazakhstan,No,,,,,,,,,,,,No
2018,November 15,Friendly,Uzbekistan,Lebanon,1604,1460,0,0,in Australia,Yes,,,,,,,,,,,,Yes
2018,November 15,European Nations League D,Luxembourg,Belarus,1369,1509,0,2,in Luxembourg,No,,,,,,,,,,,,No
2018,November 15,Friendly,Peru,Ecuador,1895,1741,0,2,in Peru,No,,,,,,,,,,,,No
2018,November 15,Friendly,Poland,Czechia,1751,1698,0,1,in Poland,No,,,,,,,,,,,,No
2018,November 15,European Nations League D,San Marino,Moldova,842,1326,0,1,in San Marino,No,,,,,,,,,,,,No
2018,November 16,Friendly,Argentina,Mexico,1901,1801,2,0,in Argentina,No,,,,,,,,,,,,No
2018,November 16,CONCACAF Nations League qualifier,Aruba,Montserrat,982,681,0,2,in Curaçao,Yes,,,,,,,,,,,,Yes
2018,November 16,CONCACAF Nations League qualifier,Belize,Puerto Rico,1148,1016,1,0,in Belize,No,,,,,,,,,,,,No
2018,November 16,CONCACAF Nations League qualifier,Bermuda,El Salvador,1152,1476,1,0,in Bermuda,No,,,,,,,,,,,,No
2018,November 16,Friendly,Brazil,Uruguay,2130,1932,1,0,in England,Yes,,,,,,,,,,,,Yes
2018,November 16,Friendly,Chile,Costa Rica,1864,1691,2,3,in Chile,No,,,,,,,,,,,,No
2018,November 16,European Nations League C,Cyprus,Bulgaria,1428,1645,1,1,in Cyprus,No,,,,,,,,,,,,No
2018,November 16,African Nations Cup qualifier,Egypt,Tunisia,1598,1680,3,2,in Egypt,No,,,,,,,,,,,,No
2018,November 16,European Nations League D,Gibraltar,Armenia,1123,1444,2,6,in Gibraltar,No,,,,,,,,,,,,No
2018,November 16,CONCACAF Nations League qualifier,Grenada,Saint Martin,1061,838,5,2,in Grenada,No,,,,,,,,,,,,No
2018,November 16,Friendly,Honduras,Panama,1588,1582,1,0,in Honduras,No,,,,,,,,,,,,No
2018,November 16,East Asian Championship qualifier,Hong Kong,Mongolia,1208,712,5,1,in Taiwan,Yes,,,,,,,,,,,,Yes
2018,November 16,Friendly,Japan,Venezuela,1732,1752,1,1,in Japan,No,,,,,,,,,,,,No
2018,November 16,Southeast Asian Championship,Laos,Myanmar,721,1064,1,3,in Laos,No,,,,,,,,,,,,No
2018,November 16,European Nations League D,Liechtenstein,Macedonia,1137,1504,0,2,in Liechtenstein,No,,,,,,,,,,,,No
2018,November 16,African Nations Cup qualifier,Morocco,Cameroon,1704,1615,2,0,in Morocco,No,,,,,,,,,,,,No
2018,November 16,European Nations League A,Netherlands,France,1945,2127,2,0,in the Netherlands,No,,,,,,,,,,,,No
2018,November 16,Friendly,Oman,Syria,1534,1587,1,1,in Oman,No,,,,,,,,,,,,No
2018,November 16,Friendly,Palestine,Pakistan,1376,939,2,1,in Palestine,No,,,,,,,,,,,,No
2018,November 16,Friendly,Saudi Arabia,Yemen,1574,1194,1,0,in Saudi Arabia,No,,,,,,,,,,,,No
2018,November 16,European Nations League B,Slovakia,Ukraine,1733,1804,4,1,in Slovakia,No,,,,,,,,,,,,No
2018,November 16,European Nations League C,Slovenia,Norway,1551,1658,1,1,in Slovenia,No,,,,,,,,,,,,No
2018,November 16,African Nations Cup qualifier,South Sudan,Burundi,1038,1348,2,5,in South Sudan,No,,,,,,,,,,,,No
2018,November 16,East Asian Championship qualifier,Taiwan,North Korea,981,1438,0,2,in Taiwan,No,,,,,,,,,,,,No
2018,November 16,Friendly,United Arab Emirates,Bolivia,1500,1660,0,0,in the United Arab Emirates,No,,,,,,,,,,,,No
2018,November 16,Southeast Asian Championship,Vietnam,Malaysia,1290,1084,2,0,in Vietnam,No,,,,,,,,,,,,No
2018,November 16,European Nations League B,Wales,Denmark,1795,1893,1,2,in Wales,No,,,,,,,,,,,,No
2018,November 17,European Nations League C,Albania,Scotland,1532,1682,0,4,in Albania,No,,,,,,,,,,,,No
2018,November 17,Friendly,Australia,South Korea,1722,1772,1,1,in Australia,No,,,,,,,,,,,,No
2018,November 17,European Nations League D,Azerbaijan,Faroe Islands,1413,1265,2,0,in Azerbaijan,No,,,,,,,,,,,,No
2018,November 17,CONCACAF Nations League qualifier,Cayman Islands,Saint Lucia,939,1146,0,0,in the Cayman Islands,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Comoros,Malawi,1062,1280,2,1,in the Comoros,No,,,,,,,,,,,,No
2018,November 17,CONCACAF Nations League qualifier,Cuba,Dominican Republic,1327,1277,1,0,in Cuba,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Equatorial Guinea,Senegal,1300,1753,0,1,in Equatorial Guinea,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Gabon,Mali,1427,1510,0,1,in Gabon,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Gambia,Benin,1272,1424,3,1,in The Gambia,No,,,,,,,,,,,,No
2018,November 17,European Nations League A,Italy,Portugal,1884,1973,0,0,in Italy,No,,,,,,,,,,,,No
2018,November 17,CONCACAF Nations League qualifier,Jamaica,Suriname,1566,1262,2,1,in Jamaica,No,,,,,,,,,,,,No
2018,November 17,Friendly,Jordan,India,1465,1214,2,1,in Jordan,No,,,,,,,,,,,,No
2018,November 17,European Nations League D,Malta,Kosovo,1204,1449,0,5,in Malta,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Namibia,Guinea-Bissau,1389,1303,0,0,in Namibia,No,,,,,,,,,,,,No
2018,November 17,CONCACAF Nations League qualifier,Nicaragua,Haiti,1302,1499,0,2,in Nicaragua,No,,,,,,,,,,,,No
2018,November 17,Southeast Asian Championship,Philippines,East Timor,1196,650,3,2,in Malaysia,Yes,,,,,,,,,,,,Yes
2018,November 17,European Nations League C,Romania,Lithuania,1730,1345,3,0,in Romania,No,,,,,,,,,,,,No
2018,November 17,European Nations League C,Serbia,Montenegro,1798,1615,2,1,in Serbia,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Seychelles,Libya,978,1467,1,8,in the Seychelles,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,South Africa,Nigeria,1542,1726,1,1,in South Africa,No,,,,,,,,,,,,No
2018,November 17,Southeast Asian Championship,Thailand,Indonesia,1399,1215,4,2,in Thailand,No,,,,,,,,,,,,No
2018,November 17,European Nations League B,Turkey,Sweden,1712,1814,0,1,in Turkey,No,,,,,,,,,,,,No
2018,November 17,African Nations Cup qualifier,Uganda,Cape Verde,1456,1419,1,0,in Uganda,No,,,,,,,,,,,,No
2018,November 17,Friendly,Vanuatu,New Caledonia,1210,1218,2,2,in Vanuatu,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Angola,Burkina Faso,1296,1556,2,1,in Angola,No,,,,,,,,,,,,No
2018,November 18,CONCACAF Nations League qualifier,Bahamas,Anguilla,872,570,1,1,in the Bahamas,No,,,,,,,,,,,,No
2018,November 18,CONCACAF Nations League qualifier,Barbados,US Virgin Islands,1130,718,3,0,in Barbados,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Congo,Democratic Republic of Congo,1387,1551,1,1,in Congo,No,,,,,,,,,,,,No
2018,November 18,European Nations League A,England,Croatia,1946,1939,2,1,in England,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Eswatini,Niger,1225,1290,1,2,in Eswatini,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Ethiopia,Ghana,1274,1614,0,2,in Ethiopia,No,,,,,,,,,,,,No
2018,November 18,European Nations League C,Greece,Estonia,1647,1435,0,1,in Greece,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Guinea,Ivory Coast,1467,1607,1,1,in Guinea,No,,,,,,,,,,,,No
2018,November 18,European Nations League C,Hungary,Finland,1584,1648,2,0,in Hungary,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Lesotho,Tanzania,1282,1346,1,0,in Lesotho,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Liberia,Zimbabwe,1320,1498,1,0,in Liberia,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Madagascar,Sudan,1390,1230,1,3,in Madagascar,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Mauritania,Botswana,1343,1328,2,1,in Mauritania,No,,,,,,,,,,,,No
2018,November 18,European Nations League D,Moldova,Luxembourg,1330,1342,1,1,in Moldova,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Mozambique,Zambia,1274,1441,1,0,in Mozambique,No,,,,,,,,,,,,No
2018,November 18,European Nations League B,Northern Ireland,Austria,1642,1744,1,2,in Northern Ireland,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Rwanda,Central African Republic,1270,1330,2,2,in Rwanda,No,,,,,,,,,,,,No
2018,November 18,European Nations League D,San Marino,Belarus,838,1536,0,2,in San Marino,No,,,,,,,,,,,,No
2018,November 18,Friendly,Spain,Bosnia and Herzegovina,2008,1798,1,0,in Spain,No,,,,,,,,,,,,No
2018,November 18,CONCACAF Nations League qualifier,Saint Kitts and Nevis,Canada,1257,1537,0,1,in Saint Kitts and Nevis,No,,,,,,,,,,,,No
2018,November 18,European Nations League A,Switzerland,Belgium,1877,2080,5,2,in Switzerland,No,,,,,,,,,,,,No
2018,November 18,African Nations Cup qualifier,Togo,Algeria,1396,1496,1,4,in Togo,No,,,,,,,,,,,,No
2018,November 18,CONCACAF Nations League qualifier,Turks and Caicos Islands,Saint Vincent and the Grenadines,746,1112,3,2,in Turks and Caicos Islands,No,,,,,,,,,,,,No
2018,November 19,European Nations League D,Andorra,Latvia,1074,1305,0,0,in Andorra,No,,,,,,,,,,,,No
2018,November 19,European Nations League C,Bulgaria,Slovenia,1639,1551,1,1,in Bulgaria,No,,,,,,,,,,,,No
2018,November 19,CONCACAF Nations League qualifier,Curaçao,Guadeloupe,1312,1225,6,0,in Curaçao,No,,,,,,,,,,,,No
2018,November 19,European Nations League C,Cyprus,Norway,1434,1658,0,2,in Cyprus,No,,,,,,,,,,,,No
2018,November 19,European Nations League B,Czechia,Slovakia,1712,1765,1,0,in Czechia,No,,,,,,,,,,,,No
2018,November 19,European Nations League B,Denmark,Ireland,1913,1689,0,0,in Denmark,No,,,,,,,,,,,,No
2018,November 19,European Nations League D,Georgia,Kazakhstan,1540,1336,2,1,in Georgia,No,,,,,,,,,,,,No
2018,November 19,European Nations League A,Germany,Netherlands,1941,1982,2,2,in Germany,No,,,,,,,,,,,,No
2018,November 19,Friendly,Iceland,Qatar,1673,1532,2,2,in Belgium,Yes,,,,,,,,,,,,Yes
2018,November 19,European Nations League D,Liechtenstein,Armenia,1126,1460,2,2,in Liechtenstein,No,,,,,,,,,,,,No
2018,November 19,European Nations League D,Macedonia,Gibraltar,1515,1107,4,0,in Macedonia,No,,,,,,,,,,,,No
2018,November 19,CONCACAF Nations League qualifier,Martinique,Antigua and Barbuda,1444,1177,4,2,in Martinique,No,,,,,,,,,,,,No
2018,November 19,Friendly,Oman,Bahrain,1533,1404,2,1,in Oman,No,,,,,,,,,,,,No
2018,November 20,Friendly,Albania,Wales,1500,1775,1,0,in Albania,No,,,,,,,,,,,,No
2018,November 20,Friendly,Argentina,Mexico,1908,1794,2,0,in Argentina,No,,,,,,,,,,,,No
2018,November 20,Friendly,Australia,Lebanon,1721,1464,3,0,in Australia,No,,,,,,,,,,,,No
2018,November 20,Friendly,Bolivia,Iraq,1658,1562,0,0,in the United Arab Emirates,Yes,,,,,,,,,,,,Yes
2018,November 20,Friendly,Brazil,Cameroon,2135,1600,1,0,in England,Yes,,,,,,,,,,,,Yes
2018,November 20,Southeast Asian Championship,Cambodia,Laos,778,709,3,1,in Cambodia,No,,,,,,,,,,,,No
2018,November 20,Friendly,Chile,Honduras,1847,1595,4,1,in Chile,No,,,,,,,,,,,,No
2018,November 20,Friendly,China,Palestine,1532,1377,1,1,in China,No,,,,,,,,,,,,No
